From	Entry
hsa:3357	P41595
hsa:10800	Q9Y271
hsa:10800	Q38Q88
hsa:10800	Q38Q91
hsa:148	P35348
hsa:1132	P08173
hsa:1813	P14416
hsa:11255	Q9Y5N1
hsa:3354	P28566
hsa:1133	P08912
hsa:3352	P28221
hsa:2918	O00222
hsa:3355	P30939
hsa:338442	Q8TDS4
hsa:338442	A0A4Y1JWQ0
hsa:5029	P41231
hsa:8843	P49019
hsa:64805	Q9H244
hsa:64805	A8K7T1
hsa:152	P18825
hsa:152	Q4W594
hsa:5732	P43116
hsa:5737	P43088
hsa:5030	P51582
hsa:3351	P28222
hsa:3351	A8K215
hsa:3351	X5D7I5
hsa:3362	P50406
hsa:1816	P21918
hsa:5731	P34995
hsa:2917	Q14831
hsa:2917	B2R693
hsa:2917	Q59G95
hsa:6010	P08100
hsa:2914	Q14833
hsa:2914	A1L4F9
hsa:136	P29275
hsa:3356	P28223
hsa:59340	Q9H3N8
hsa:5031	Q15077
hsa:2915	P41594
hsa:185	P30556
hsa:185	Q53YY0
hsa:146	P25100
hsa:146	B0ZBE0
hsa:6753	P32745
hsa:151	P18089
hsa:134	P30542
hsa:5724	P25105
hsa:3577	P25024
hsa:2911	Q13255
hsa:2911	Q59HC2
hsa:1909	P25101
hsa:56413	Q9NPC1
hsa:56413	B4E292
hsa:1131	P20309
hsa:1815	P21917
hsa:552	P37288
hsa:552	X5D2B0
hsa:4985	P41143
hsa:3350	P08908
hsa:3350	A8K5W4
hsa:3350	Q5ZGX3
hsa:1812	P21728
hsa:3274	P25021
hsa:3363	P34969
hsa:1241	Q15722
hsa:6751	P30872
hsa:6751	Q86SW9
hsa:7201	P34981
hsa:23620	O95665
hsa:5739	P43119
hsa:4543	P48039
hsa:2550	Q9UBS5
hsa:2550	A0A1U9X7R0
hsa:2550	Q59HG8
hsa:9283	O60883
hsa:5028	P47900
hsa:6755	P35346
hsa:3269	P35367
hsa:6752	P30874
hsa:554	P30518
hsa:1814	P35462
hsa:1814	A8K8E4
hsa:1814	X5D2G4
hsa:3360	Q13639
hsa:3360	A0A2D3FAF9
hsa:140	P0DMS8
hsa:222545	Q5T6X5
hsa:2912	Q14416
hsa:1129	P08172
hsa:1129	A4D1Q0
hsa:1129	Q6SL56
hsa:1129	Q86SJ1
hsa:3358	P28335
hsa:3361	P47898
hsa:3361	A4D2N2
hsa:4988	P35372
hsa:4988	G8XRH5
hsa:2916	O15303
hsa:1234	P51681
hsa:1234	Q38L21
hsa:2913	Q14832
hsa:2913	A4D1D0
hsa:150	P08913
hsa:135	P29274
hsa:135	B3KVQ4
hsa:135	X5DNB4
hsa:153	P08588
hsa:57105	Q9NS75
hsa:57105	A4ZKH2
hsa:57105	Q5KU17
hsa:9934	Q15391
hsa:9934	A5JUU3
hsa:1128	P11229
hsa:1128	Q53XZ3
hsa:147	P35368
hsa:5032	Q96G91
hsa:2846	Q99677
hsa:1268	P21554
hsa:1268	S5TLS4
hsa:155	P13945
hsa:155	A8KAG8
hsa:9052	Q8NFJ5
hsa:6915	P21731
hsa:6915	Q05C92
hsa:6915	Q0VAB0
hsa:10161	P43657
hsa:10161	B3KVQ5
hsa:154	P07550
hsa:154	X5DQM5
hsa:4986	P41145
hsa:5733	P43115
hsa:1910	P24530
